基金代碼,名稱,ISIN Code,類型(核心/衛星/ETF),風險等級,預設描述,近一年績效(%),近二年績效(%),近三年績效(%)
97978047,"PGIM保德信貨幣市場基金",TW000T0805Y9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
C0109004,"PGIM美國公司債基金T美元累積",IE00BDZVHR40,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
92017204,"元大得利貨幣市場基金",TW000T0569Y1,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
98639616,"PGIM保德信美國投資級企業債",TW000T0842A2,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
98641524,"華南永昌全球投資等級債券",TW000T1286A1,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
C0054057,"法盛盧米斯賽勒斯投資級債",LU0411266801,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
00713,"元大台灣高息低波",TW0000071303,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
98638122,"PGIM保德信多元收益組合基金",TW000T0837B0,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
98642423,"中國信託策略優利多重資產",TW000T2629B9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
11: 98641177,"PGIM保德信全球生態友善ESG",TW000T0848B7,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
12: 98638532,"元大亞太優質高股息100指數",TW000T05A7B4,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
13: 98637275,"台新北美收益資產證券化基金",TW000T4717B0,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
14: 98639936,"中國信託亞太實質收息多重",TW000T2683B6,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
15: 00646,"元大S&P500",TW0000064605,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
16: 01032183,"PGIM保德信高成長基金",TW000T0802Y6,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
17: C0109006,"PGIM JENNISON全球股票機會",IE00BGJVXP15,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
18: 98639403,"元大台灣卓越50ETF連結基金",TW000T05B2A6,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
19: 98642116,"中國信託美國聚焦成長基金",TW000T2628A3,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
20: 01031699,"統一全天候基金-A類型",TW000T0902Y4,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
21: 98641594,"中國信託成長轉機多重資產",TW000T2625A9,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
22: 009803,"保德信市值動能50",TW0000098033,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
23: 73990649,"PGIM保德信科技島基金",TW000T0808Y3,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
24: C0109015,"PGIM Jennison美國成長基金",IE00BYWYQY37,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
25: 81584335,"元大高科技基金",TW000T0508Y9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
26: 98642010,"台新美日台半導體基金",TW000T4775A0,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
27: C0115024,"法盛AI及機器人基金",LU1923623000,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
28: 98638079,"統一全球新科技基金",TW000T0933A9,Satellite,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
29: 0050,"元大台灣50",TW0000050000,Satellite,4,"精選ETF標的，追蹤指數表現。",+15.2%,+30.5%,+45.8%
30: 98641176,"PGIM全球生態友善ESG多重",TW000T0848A9,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
31: 98641767,"元大臺灣ESG永續ETF連結",TW000T05C3A3,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
32: 98641425,"中國信託ESG金融收益多重",TW000T2623A4,Core,4,"優質基金標的，提供穩健的投資選擇。",+10.5%,+20.1%,+35.2%
