基金人格,人格說明,基金代碼,名稱,ISINCode,類型(核心/衛星/ETF),風險等級
"口袋拉拉","拉布拉多型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","92017204","元大台灣高股息優質龍頭基金","TW0009201720","核心基金","RR4"
"口袋拉拉","拉布拉多型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","C0115024","法盛AI及機器人基金-R/A美元級別","LU1923623000","核心基金","RR4"
"口袋拉拉","拉布拉多型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","C0109017","PGIM全球精選不動產證券基金A美元季配息型","IE00BMQ64708","核心基金","RR4"
"口袋拉拉","拉布拉多型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","C0016223","富達基金-全球入息基金(A股【F1穩定月配息】美元)","LU0731783048","衛星基金","RR3"
"口袋拉拉","拉布拉多型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","C0026090","摩根投資基金-多重收益基金-JPM多重收益(美元對沖)-A股(每季派息)","LU0726765562","衛星基金","RR3"
"口袋拉拉","拉布拉多型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","98642423","保德信科技島基金","TW000T0815Y7","衛星基金","RR4"
"口袋拉拉","拉布拉多型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","009803","保德信市值動能50","TW0000098030","ETF","RR4"
"口袋獒","藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","C0125004","安盛環球基金-全球綜合債券基金A CAP歐元","LU0184633773","核心基金","RR2"
"口袋獒","藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","92017204","元大台灣高股息優質龍頭基金","TW0009201720","核心基金","RR4"
"口袋獒","藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","C0016400","富達基金-全球優質債券基金(A股C月配息日圓避險)","LU2868952123","核心基金","RR2"
